id,usuario_id,almacen_id,created_at,updated_at,deleted_at
1,CSSSA000045,00011,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
2,CSSSA004496,000110,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
3,CSSSA004595,000111,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
4,CSSSA004945,000112,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
5,CSSSA005510,000113,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
6,CSSSA005773,000114,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
7,CSSSA006403,000115,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
8,CSSSA006934,000116,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
9,CSSSA007074,000117,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
10,CSSSA007540,000118,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
11,CSSSA008264,000119,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
12,CSSSA000412,00012,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
13,CSSSA009162,000120,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
14,CSSSA017336,000121,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
15,CSSSA017341,000122,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
16,CSSSA017353,000123,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
17,CSSSA017365,000124,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
18,CSSSA017370,000125,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
19,CSSSA017382,000126,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
20,CSSSA017394,000127,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
21,CSSSA017406,000128,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
22,CSSSA017411,000129,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
23,CSSSA000453,00013,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
24,CSSSA017504,000130,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
25,CSSSA017516,000131,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
26,CSSSA017521,000132,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
27,CSSSA017726,000133,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
28,CSSSA017731,000134,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
29,CSSSA018740,000135,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
30,CSSSA018752,000136,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
31,CSSSA018764,000137,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
32,CSSSA018776,000138,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
33,CSSSA018781,000139,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
34,CSSSA000651,00014,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
35,CSSSA018793,000140,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
36,CSSSA018875,000141,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
37,CSSSA019242,000142,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
38,CSSSA019481,000143,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
39,CSSSA019645,000144,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
40,CSSSA019954,000145,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
41,CSSSAHGREFO,000146,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
42,JURISMOTO10,000147,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
43,CSSSA000832,00015,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
44,CSSSA001030,00016,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
45,CSSSA001626,00017,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
46,CSSSA002611,00018,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
47,CSSSA003265,00019,2017-05-08 22:32:17,2017-05-08 22:32:17,NULL
